name,rating,review,date,location,sentiment
Goutham B C,"Rated 5.0 out of 5,",Offers a very good variety of coffee brews. It's a nice and quiet place to hang out with friends and have hours of conversations without any distractions. there's ample free parking available all the time. Must visit and highly recommended.,2022-09-27,Cafe Coffee Day - The Square,Positive
sd zaheer,"Rated 5.0 out of 5,",Had a wonderful time spending in CCD. Rima has given us a wonderful service. The food here is tasty and hygiene too. Loved to visit here again.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5 …More,2023-06-27,Cafe Coffee Day - The Square,Positive
Lynda Andrew,"Rated 5.0 out of 5,","A place with great ambience to chill out with friends.Had cold velvet coffee, expresso martini and chicken club sandwich.Food: 5/5  |  Service: 4/5  |  Atmosphere: 5/5 …More",2023-04-27,Cafe Coffee Day - The Square,Positive
Subhasis Joshi,"Rated 1.0 out of 5,",Service is really slow. There were less than 10 customers and we had to wait more than 30min for coffee and some garlic bread.  It is so waste of time. And price is ridiculousFood: 1/5  |  Service: 1/5  |  Atmosphere: 2/5 …More,2023-05-27,Cafe Coffee Day - The Square,Negative
Tejas Rege,"Rated 1.0 out of 5,",I'm writing this review from their own WiFi.This is probably the worst place I've come to in Bangalore.It's as crowded as a place you'd find on a railway station.It has one server per 12 tables. So no one even came around to my area before it was 20 min from the time I entered.No Iced Tea. Ok. You're a coffee place. You get a pass. So ordered a Vanilla Americano cold one. Aaaannnnd It didn't come along even 20 min later.Walked right out.I'm sure that coffee hasn't been served till this date.Please PLEASE don't tarnish the decent following CCD has developed.Service: 1/5  |  Atmosphere: 1/5I'm writing this review from their own WiFi.This is probably the worst place I've come to in Bangalore. …More,2023-03-27,Cafe Coffee Day - The Square,Negative
bernard dsa,"Rated 1.0 out of 5,","This place keeping in mind it's location should have been the best with best service and best employees.1. Their wifi doesn't work, the OTP neevr comes. The staff have no idea whatever.2. Went for a meeting and had to wiat for get hold of a waiter, the service is slow and the staff is pathetic.3. The only thing was quick and on time was their bill.This is a lovely place but not well maintained. There was water spilled and the waiter says it the housekeepers job. Rather than getting it cleaned it asking someone to do it.Food: 3/5  |  Service: 1/5  |  Atmosphere: 3/5This place keeping in mind it's location should have been the best with best service and best employees. …More",2023-06-27,Cafe Coffee Day - The Square,Negative
Christudoss Irwin,"Rated 3.0 out of 5,","The place is good, relaxed environment. Plenty of parking space available.Food is not great, especially considering the premium price.Service is very slow and needs to be reminded multiple times.Food: 2/5  |  Service: 2/5  |  Atmosphere: 4/5Recommended dishes
Creamy Chicken Sandwich, Chicken Club Sandwich

Parking space
Plenty of parking

Parking options
Free parking lot …More",2023-06-27,Cafe Coffee Day - The Square,Positive
Sanjay S,"Rated 4.0 out of 5,",Iconic place... Relaxing atmosphere... Good parking area and a great place for short meetings... AC wasn't working effectively... Place can become busier as the day goes by... Try their Tiramisu Frappe...Food: 4/5  |  Service: 3/5  |  Atmosphere: 4/5 …More,2023-04-27,Cafe Coffee Day - The Square,Positive
Ammu,"Rated 5.0 out of 5,",Great place to hang out or for a meeting or to work!! Very spacious… and ofcourse best coffee in town 😋☕️🥤CCD is a must try place for coffee lovers.My all time favourite is devils own😈Parking space available near the building.,2022-06-27,Cafe Coffee Day - The Square,Positive
B.S Anoop (Naturestrail Getaways),"Rated 5.0 out of 5,",All ways the best in its class . The staff is very kind and alert all the time. Just dropped in to sip some new coffe on the manu called velvet coffee which was good to taste.   The place is all ways spic and span . Will definitely recommend to others .,2022-06-27,Cafe Coffee Day - The Square,Positive
Nikhil Singh,"Rated 5.0 out of 5,","Always a great place to hangout with friends and colleagues. The place is open till late night, the service is good and centrally located. One can use it for meetings also.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5 …More",2023-06-27,Cafe Coffee Day - The Square,Positive
Pooja Reddy,"Rated 5.0 out of 5,",This is the first coffee day in India. Such a bliss to have coffees here. The space is huge and interiors are well designed. Enjoyed my time here. Totally recommend this place,2022-07-27,Cafe Coffee Day - The Square,Positive
Abhi Jain,"Rated 5.0 out of 5,","This is a gem in the center of the city right next to Cubbon park. Offers a very good variety from Indonesian to Vietnamese to Indian brews. I'm a big fan of the cold brews they offer. It's a nice and quiet place to hang out with friends and have hours of conversations without any distractions. That too amid lush green surroundings. Best part, there's ample free parking available all the time. Must visit and highly recommended.This is a gem in the center of the city right next to Cubbon park. Offers a very good variety from Indonesian to Vietnamese to Indian brews. I'm a big fan of the cold brews they offer. It's a nice and quiet place to hang out with friends …More",2022-06-27,Cafe Coffee Day - The Square,Positive
Aruna R,"Rated 5.0 out of 5,","One of the best place..  for setting up a casual meeting or a formal Date.The place is posh and done well, the cafe has their head office on top. So it’s one of their best experience cafe.But I don’t understand why they give  different pricing menu each time I visit here.. since it’s their head office cafe , it’s understandable on their menu high pricing but they should still look into this why so many different menu’s.But the service is very good. The quality of the food served is very good.Also The parking is the best they have.Since it's in the city centre, it's a go to place for official meetings.Am giving 5 star for the experience and the service, also for their easy accessible car parking.High priced Menu and the value for money food part is still ok, because u get other things right. Except u spend a little more money for ur usual coffee like Rs. 300-350/-One of the best place..  for setting up a casual meeting or a formal Date.The place is posh and done well, the cafe has their head office on top. So it’s one of their best experience cafe. …More",2023-02-27,Cafe Coffee Day - The Square,Positive
Raj Kumari,"Rated 4.0 out of 5,","Awesome experience , it's exactly the centre point for many businesses. Nice chilled out space, service is really good,, most recommendable is obviously coffee apart from that must try is brownie..This time we tried honey cinnamon tea, Coffe Mocha and tumeric ginger cappuccino, vegan omelette.All good.Awesome experience , it's exactly the centre point for many businesses. Nice chilled out space, service is really good,, most recommendable is obviously coffee apart from that must try is brownie.. …More",2022-06-27,Cafe Coffee Day - The Square,Positive
Swarn Kamal,"Rated 5.0 out of 5,",After a long time got to have a good cappuccino. Thank you CCD for bringing the memories back. The chicken burger was just awesome and tasted fresh !!,2023-05-27,Cafe Coffee Day - The Square,Positive
Amandeep Singh Shienh,"Rated 5.0 out of 5,",Perfect location. Great ambience. Good coffee. You can get stuff to eat and drink here and then go for a short picnic in cubbon park.,2023-04-27,Cafe Coffee Day - The Square,Positive
Arijit Das,"Rated 5.0 out of 5,",One of the signature stores from CCD. Have some great collection of Mysore and Odissa coffee. There are also different methods of brewing coffee that they will demonstrate. You can also buy coffee beans there.Lots of food available. Easily can have a full meal there. Tried chicken nachos and it was really good.Food: 5/5  |  Service: 4/5  |  Atmosphere: 5/5One of the signature stores from CCD. Have some great collection of Mysore and Odissa coffee. There are also different methods of brewing coffee that they will demonstrate. You can also buy coffee beans there. …More,2023-02-27,Cafe Coffee Day - The Square,Positive
Praveen Kumar,"Rated 5.0 out of 5,",Good coffee shop. They offer coffee made from coffee seeds of Koraput region Odisha. it has a good Aroma and taste. i also liked the orange flavoured cold brew. i would suggest adding calories to menu card for better decision making of customers.Food: 5/5  |  Service: 5/5  |  Atmosphere: 4/5 …More,2023-05-27,Cafe Coffee Day - The Square,Positive
Nellerichal Sreeju,"Rated 4.0 out of 5,","Staff friendly, I didn't eat anything here except for a croissant which was good. The atmosphere was nice to hangout with friends",2022-10-27,Cafe Coffee Day - The Square,Neutral
Saurabh Patel,"Rated 5.0 out of 5,","Great place, pleasant ambience, great for deep conversation. Outdoor seating at night is one of the best you can ask for.Food: 3/5  |  Service: 3/5  |  Atmosphere: 5/5 …More",2023-02-27,Cafe Coffee Day - The Square,Positive
sam n,"Rated 4.0 out of 5,",Prime location. I think it's the costliest of all the coffee day outlets. Food is good. Nice ambience. Drawback is that there is only one urinals which makes a person wait longer.Food: 4/5  |  Service: 3/5  |  Atmosphere: 5/5 …More,2023-04-27,Cafe Coffee Day - The Square,Positive
K V N Raju,"Rated 5.0 out of 5,",The place is big with separate rooms available for conducting personal and professional meetings. Open till late night and very good place to work and no one will be disturbing.,2022-06-27,Cafe Coffee Day - The Square,Positive
Claire,"Rated 1.0 out of 5,","Check the prices of the items on the menu in google before going. Ordered a spinach and mushroom sandwich and a cucumber iced green tea with mint. The sandwich costed ~₹250 and iced tea was ~₹270. Ridiculously overpriced. The sandwich had barely any spinach and 2 tiny mushroom slices inside and the sandwich itself was 4’’*4’’ cut into four squares with a spoon of some sauce on the side.Now, coming to the iced tea, look at the glass which I was served in. It wasn’t washed properly since ages and the black mold was food deposited time after time and getting rotten. To my luck I saw the disgusting thing after I with great difficulty drank half of it. It was stale and I was borderline gonna puke. Asked for a spoon of honey but was told I’d be charged for it. Was instead offered sugar -_-When complained to the server and the (manager?) he took the glass and told me he’d get it checked and gave me the money back in cash as I’d already paid for the food and the tea. Was also told they’d tank all the glasses.Please be aware of the utensils and items you get served with and just skip the disgust i underwent.Check the prices of the items on the menu in google before going. Ordered a spinach and mushroom sandwich and a cucumber iced green tea with mint. The sandwich costed ~₹250 and iced tea was ~₹270. Ridiculously overpriced. The sandwich had …More",2022-06-27,Cafe Coffee Day - The Square,Negative
Zaitoon Hameed,"Rated 4.0 out of 5,","It is 2 years  now settled in Bangalore,Always plan to visit this place but was getting cancelled.Finally we planned a surprise for my nephew late night in coffee square.Just because of Carona safety we selected this place night 11.30 pmIt was empty only 2 tables were occupied.Just had a good family time after long time  in post lockdown.EnjoyedIt is 2 years  now settled in Bangalore,Always plan to visit this place but was getting cancelled.Finally we planned a surprise for my nephew late night in coffee square. …More",2021-06-27,Cafe Coffee Day - The Square,Positive
sachin chandelker,"Rated 5.0 out of 5,","Ambiance is damn good, near Prime location.This was the first CCD outlet set up on July 11, 1996..This CCD is so different from all other CCDs.I always like the taste of CCD, whatever, try here once, this is must...Vegetarian options: Vegitarian options are thereAmbiance is damn good, near Prime location.This was the first CCD outlet set up on July 11, 1996..This CCD is so different from all other CCDs. …More",2022-08-27,Cafe Coffee Day - The Square,Positive
Meet Pandya,"Rated 5.0 out of 5,",Good ambiance. Polite staff. Delicious food. Good place for work also.,2022-08-27,Cafe Coffee Day - The Square,Positive
Shiva Krishna HR,"Rated 5.0 out of 5,","One of the great CCD I have ever been, best in class. CCD is the crown of Organised coffee shop. Wide variety of Coffee to pick from with varieties of snacks, short eats. For any kind of meeting this best placeRecommended dishes
Veg Nacho Cheese, Tiramasu, Peri Peri Wedges, Red Velvet Cake, Peanut Butter Brew, Chocolate Cake, Pastry, Cafe Coffee Day, Nachos with Cheese, Veg Sandwich …More",2023-05-27,Cafe Coffee Day - The Square,Positive
Rahul Chandrashekar,"Rated 5.0 out of 5,",Nice place to hang out with a good coffee.CCD has a tie-up with a organization and have come up with bio degradable coffee cup and a sort of a sipper contributing their bit to the environment.These are unbreakable and micro waveable upto a minute. Totally worth it if you would want to help their causeNice place to hang out with a good coffee.CCD has a tie-up with a organization and have come up with bio degradable coffee cup and a sort of a sipper contributing their bit to the environment. …More,2022-06-27,Cafe Coffee Day - The Square,Positive
deon,"Rated 5.0 out of 5,",It was a really nice experience sitting and working in the cafe. One of the best servicing by Rima. Definitely recommend this place.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5 …More,2023-06-27,Cafe Coffee Day - The Square,Positive
Hitesh Jain,"Rated 5.0 out of 5,",This is the best place to go for even if it's bit late night. I tried it's italian cuisine. Loved it. Best garlic bread ever had along with pasta. Amazing ambience. Beautiful place.,2023-03-27,Cafe Coffee Day - The Square,Positive
Mugdha Sathe,"Rated 5.0 out of 5,",A good place to hangout. It serves a variety of snack as well as meal dishes. The food is  different but has delicious taste. Not to mention a wide variety of beverages to choose from.,2021-06-27,Cafe Coffee Day - The Square,Positive
Sushmitha T,"Rated 1.0 out of 5,","They have the worse helpline. I had to call 5 times and the last three times they cut my call. I had a very simple query about the conference room to which no one was able to give me an answer. Over the years it seemed like CCD was getting better, but clearly not. And honestly to disconnect my call? What's with the team? Why is the process so difficult and unprofessional? And this isn't my only bad experience with them. Found a dead cockroach in one of their outlets. And when i informed the staff so they could take it out before others saw it too, the staff's reaction was so careless. Looking at all the new outlets and rewamped designs, i was considering going back to CCD, but not anymore.They have the worse helpline. I had to call 5 times and the last three times they cut my call. I had a very simple query about the conference room to which no one was able to give me an answer. Over the years it seemed like CCD was getting â€¦More",2023-03-27,Cafe Coffee Day - The Square,Negative
Sahil Bihari,"Rated 5.0 out of 5,","The best CCD that I have ever been to (and I have been to a lot... Trust me). You can choose from a wide variety of coffee beans from various countries. We had a Cappuccino each with beans from Guatemala and Costa Rica. Both were great. The presentation was perfect. And the staff was really attentive. The interiors feel like you are sitting in the lounge of a premium hotel. This is the perfect model for how each CCD should look like. Unfortunately, most of them seem to be failing miserably in maintain the same level of service.The best CCD that I have ever been to (and I have been to a lot... Trust me). You can choose from a wide variety of coffee beans from various countries. We had a Cappuccino each with beans from Guatemala and Costa Rica. Both were great. The â€¦More",2018-06-27,Cafe Coffee Day - The Square,Positive
Saakshi J,"Rated 4.0 out of 5,","This is the best CCD in town, hands down! This one has a huge area, extensive menu, better seating & good view. Its usually quiet & it is a good option to work out of too.The food is decent, if only they could make it a little better there would be no cafe better than this. The seats are very comfortable & you will easily find plug points too.This is the best CCD in town, hands down! This one has a huge area, extensive menu, better seating & good view. Its usually quiet & it is a good option to work out of too. â€¦More",2019-06-27,Cafe Coffee Day - The Square,Positive
Neha S,"Rated 3.0 out of 5,",1 cafe latte cost 300 plus in a small cup. Though I love coffee but donâ€™t prefer going as itâ€™s exorbitant. 3 stars for only ambience & free parking. Please check your bill as they change prices if the same coffee the very next day. Hence check ur bill.,2023-01-27,Cafe Coffee Day - The Square,Positive
Tamana Slathia,"Rated 5.0 out of 5,","One of the nicest CCDs I have been in recent times and one that makes me wonder why I do not go to CCD anymore! I love the view and calmness it offers with its huge glass walls that look onto the palm trees, reminding me of an arcade. It's pretty.Atmosphere: 4/5 â€¦More",2023-02-27,Cafe Coffee Day - The Square,Positive
Joseph Infant Antony,"Rated 3.0 out of 5,",Good atmosphere.. peaceful.. no variety food... staffs were very polite.. very expensive. Food quality average. Comparing with normal ccd the square is poor,2019-06-27,Cafe Coffee Day - The Square,Neutral
Sri Guru,"Rated 5.0 out of 5,",The ambiance is very Good.Such a wonderful place.Cappuccino is very ðŸ˜‹Thank you for CCDFood: 4/5  |  Service: 5/5  |  Atmosphere: 5/5 â€¦More,2022-11-27,Cafe Coffee Day - The Square,Positive
Rishabh,"Rated 5.0 out of 5,",A pretty decent place to have coffee and conversate with your friends and family.,2018-06-27,Cafe Coffee Day - The Square,Positive
Kush Oholic,"Rated 5.0 out of 5,","It was a good experience in the cafe, the person I was with was also happy, the conversation went well. I will definitely go there again..",2023-05-27,Cafe Coffee Day - The Square,Positive
EliteXRhino,"Rated 5.0 out of 5,","Good Coffee stop,Has parking facility.Great ambiance,Has a large seating area, even outdoor seating.Good Coffee stop,Has parking facility.Great ambiance, â€¦More",2022-06-27,Cafe Coffee Day - The Square,Positive
AL B,"Rated 4.0 out of 5,","Cafe coffee day when you get there, itâ€™s table service so sit down anywhere. They arenâ€™t quick to take your order but thatâ€™s because in Bangalore India itâ€™s a slow paced environment for food and restaurants.The selection of beverages is amazing. You can have coffee, tea, mocktails, or just water. You also have a large selection of food. From savory to sweet. There are also pairings available. If youâ€™re veg or non-veg an option is there for you.The food... wow! Flavor. It is not what Americans expect from India. (Most) People  stereotype Indian food as curry, masala, rice and wheat. But they have a great twist on the foods westerns and others have come to love.My meal: triple cheesy churn has burger. Veg burger with a a relish and baby potatoes roasted. Each bite was an explosion of flavor. The smoked guda complimenting the spices from the vegetable patty. The cream cheese was all the star though. It was Slightly sweet but some heat to it as well.The relish; mild in heat with bell pepper and lettuce. Mixed with the baby potatoes seasoned with love, it gives a nice starchy contrast to the rich burger.The coffee. Light. Sweet. But strong. I enjoyed  monsoon mist pour over at the recommendation of my server. The aroma from the grounds was surrounding my senses, but as soon as the water hit, the perfume of sweet coffee permeated the air. The sweetness from the coffee compliments the flavors of the veg burger very well. All of this for about 870 Rs ($14 USD) and 120 Rs tip. Iâ€™ll be going back.Cafe coffee day when you get there, itâ€™s table service so sit down anywhere. They arenâ€™t quick to take your order but thatâ€™s because in Bangalore India itâ€™s a slow paced environment for food and restaurants. â€¦More",2020-06-27,Cafe Coffee Day - The Square,Positive
Piyush Gupta,"Rated 5.0 out of 5,","Very nice premium branch of CCD, spacious, airy, luxurious seating and excellent food. Service just felt a little bit slow.Food: 5/5  |  Service: 4/5  |  Atmosphere: 5/5 â€¦More",2023-04-27,Cafe Coffee Day - The Square,Positive
Payal Pradhan,"Rated 5.0 out of 5,",Super delicious!! No doubt a bit expensive coz mallya's mall near by ðŸ˜›. Jokes apart U will fall in love with their ambience and food as well. Worth every penny.,2019-06-27,Cafe Coffee Day - The Square,Positive
tendul g,"Rated 5.0 out of 5,","Great service and ambiance, amazing food and beverages.",2021-06-27,Cafe Coffee Day - The Square,Positive
Ritam Kabiraj,"Rated 4.0 out of 5,","It is very near to Cubbon Park, so basically you can grab a coffee post a running session in the park. It is very big and the ambience is so gooood ! Try chicken sandwiches here as they make it so wellFood: 5/5  |  Service: 4/5  |  Atmosphere: 3/5 â€¦More",2023-02-27,Cafe Coffee Day - The Square,Positive
Arun K Pillai,"Rated 2.0 out of 5,",This restaurant has an interesting concept - a premium lounge with Cafe Coffee Day menu (there seemed to be a few unique items) and offerings. This concept fails because the coffee and the ambience just don't seem to match. The seats were uncomfortable and felt inadequate. The coffee and food were overpriced. Service was slow. Another issue with this place is that traffic around it and the (relative) lack of parking options. Good for one visit though. After that options inside UB City could be better options.This restaurant has an interesting concept - a premium lounge with Cafe Coffee Day menu (there seemed to be a few unique items) and offerings. This concept fails because the coffee and the ambience just don't seem to match. The seats were â€¦More,2019-06-27,Cafe Coffee Day - The Square,Negative
sujata chaudhuri,"Rated 2.0 out of 5,","For the size of the premises, it was very quiet at 6pm. We were the only ones there...the order took ages and most of us had finished our drinks by the time the last drink was served and it was just a black filter coffee! The staff were more interested in chatting...a very disappointing experience! The coffee and food were fine but I was not impresses by the serviceFood: 3/5  |  Service: 1/5  |  Atmosphere: 2/5For the size of the premises, it was very quiet at 6pm. We were the only ones there...the order took ages and most of us had finished our drinks by the time the last drink was served and it was just a black filter coffee! The staff were â€¦More",2022-12-27,Cafe Coffee Day - The Square,Neutral
Dakota Hunter,"Rated 5.0 out of 5,","I'm utterly impressed with this coffee day.  It's clean, has a great menu and the service is great!  The only complaint is the wifi.  It's free for 15 minutes and gives you the option to purchase more (40rps for 24 hour service) but it doesn't work.",2017-06-27,Cafe Coffee Day - The Square,Positive
angad achappa,"Rated 5.0 out of 5,",One of the finest CCD outlets. The ambience is far better than the rest of the outlets and service is really good.Plenty of two wheeler and four wheeler parking also available.,2020-06-27,Cafe Coffee Day - The Square,Positive
